,name,date,votes,all_votes,winner,win_difference
21103,"a keiser family thanksgiving (western basitin style, how scandalous).",2017-11-19 21:14:00.680232302+00:00,37,67,False,0
14023,sythe and wolf maren in the fur sharing a tender dance in the rain together,2022-09-05 01:22:22.568898269+00:00,37,37,True,3
15181,keidran templar from https://twokinds.keenspot.com/comic/599/,2023-01-16 02:34:20.614066041+00:00,37,37,True,7
8952,"maren opens a box of valentine's chocolates, only somehow mrs nibbly got in and has eaten half of them",2021-02-14 23:56:45.059357751+00:00,37,37,True,5
10643,good morning amelia,2021-09-12 22:03:59.150283064+00:00,37,37,True,7
3683,maren brushes out sythe's matted fur as he lounges on her lap.,2019-04-07 20:15:27.181231854+00:00,37,72,False,0
791,yes,2017-08-20 19:37:56.065028222+00:00,37,37,True,27
11813,"the red-nosed reindeer gal relaxing on the beach in a bikini, taking a well-deserved break now that the holidays are done.",2022-01-02 23:43:02.230912281+00:00,37,37,True,7
13409,mad lad red builds himself a killdozer and drives through (literally) new edinmire.,2022-06-13 03:57:09.834650519+00:00,37,37,True,13
12398,brutus reference sheet,2022-03-07 02:45:20.527902213+00:00,36,36,True,7
2066,"the set of twokinds has a wardrobe problem as everyone is dressed in someone else's clothes, or lack thereof. ",2018-07-15 21:16:41.269612983+00:00,36,85,False,0
18322,face stealer girl removing the mask after a long infiltration mission and noticing that there are wolfish traits remaining on her face and body to her surprise!,2023-10-16 05:18:54.689146840+00:00,36,36,True,4
19551,good morning sythe,2024-02-05 00:42:57.661212904+00:00,36,36,True,1
7237,a town guard struggling to move an unusually heavy white cat that is blocking the road.,2020-08-23 23:15:50.064954856+00:00,36,36,True,7
14643,"amelia finally allowing herself to have a good autumn day, sitting in a lounge chair in a comfy flannel shirt with some hot cocoa, and reading a good book.",2022-11-06 22:22:32.769114523+00:00,36,36,True,5
17590,windstraw leaning against the inside of a glass with beer... but wobbly and tipsy since she already drank half of it.,2023-08-14 03:01:23.171081983+00:00,36,36,True,4
21486,the modern trio having a picnic lunch in a grove of cherry trees.,2024-05-20 00:37:39.787362859+00:00,36,36,True,14
16260,a logo for tom’s pizza delivery.,2023-04-17 01:06:49.343196360+00:00,35,35,True,10
21270,pet daughter: her first family christmas,2017-12-18 01:11:41.945103856+00:00,35,55,False,0
12440,who won the dodge ball thing?,2022-03-07 03:41:01.344218906+00:00,35,35,True,1
19494,nibszilla,2024-01-22 03:22:22.175340658+00:00,35,35,True,10
16223,"windstraw starves part 2: windstraw happily munches on the food amelia's prepared but she's a messy eater, managing to get cat chow everywhere but the bowl. amelia sighs, knowing she's going to have to clean up after her. ",2023-04-16 22:51:37.717447877+00:00,35,35,True,10
134,"updated ""bust chart"" for the gender bent groups",2017-04-23 19:40:58.384118689+00:00,35,63,False,0
21530,windstraw actually convinces the cats director to let her audition for the musical. turns out she has no idea how dancing really works and kinda just rolls around on the floor believing she's doing something impressive,2024-05-20 02:56:46.105695609+00:00,35,35,True,6
18031,modern trio find a hidden basement door in her house.,2023-09-18 01:45:02.135099372+00:00,35,35,True,9
588,beach party featuring main cast of twokinds. just kicking back and having fun before the summer ends.,2017-07-09 22:09:12.800429657+00:00,35,73,False,0
21309,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-07 22:52:19.948271102+00:00,35,61,False,0
1868,daniels takes therie home to meet his parents. awkward family dinner ensues.,2018-06-10 21:34:05.543128384+00:00,35,49,False,0
21040,unique keidran cultural practices or rituals,2017-11-12 21:21:32.902575988+00:00,35,58,False,0
10890,twokinds calendar. how many months in a year? days in a month? what are the significant dates?,2021-10-03 23:18:02.122877750+00:00,35,35,True,2
