,name,date,votes,winner,win_difference
11802,keith has an encounter with willow and ghost laura during spooky season,2021-10-11 01:30:11.343082427+00:00,1,False,0
11829,willow decides to do some online dating.,2021-10-11 03:52:39.165072491+00:00,1,False,0
11860,willow daki,2021-11-07 21:41:39.711915110+00:00,1,False,0
11886,"modern flora goes for drinks with willow laura and kat exhausted after becoming a mom. girls reassure her she can go home and nap, flora rejects the idea then immediately falls asleep ",2021-11-07 23:50:22.186336606+00:00,2,False,0
11889,"ghostbusters zen and natani, getting berated by madelyn and maeve, for capturing willow.",2021-11-07 23:50:22.186336606+00:00,1,False,0
11946,human willow,2021-11-08 02:42:41.081844495+00:00,15,False,0
11993,human willow,2021-11-15 00:44:53.309989299+00:00,1,False,0
12030,kathrin as the angel of life (with white wings) against willow as the angel of death (with black wings).,2021-11-15 02:19:22.778723592+00:00,11,False,0
12053,"modern willow and natani as a shop assistant are choosing a new phone, and the main criterion is how comfortable it is for willow's wisp to live in it.",2021-11-15 03:47:53.887803569+00:00,1,False,0
12056,willow daki,2021-11-15 03:47:53.887803569+00:00,0,False,0
12073,human willow,2021-11-21 22:41:00.075465096+00:00,1,False,0
12098,kathrin as the angel of life (with white wings) versus willow as the angel of death (with black wings).,2021-11-21 22:41:00.075465096+00:00,8,False,0
